*Server name,IP addresses,*Cores,*Memory (In MB),*OS name,OS version,OS architecture,Server type,Hypervisor,CPU utilization percentage,Memory utilization percentage,Network adapters,Network In throughput,Network Out throughput,Boot type,Number of disks,Storage in use (In GB),Disk 1 size (In GB),Disk 1 read throughput (MB per second),Disk 1 write throughput (MB per second),Disk 1 read ops (operations per second),Disk 1 write ops (operations per second),Disk 2 size (In GB),Disk 2 read throughput (MB per second),Disk 2 write throughput (MB per second),Disk 2 read ops (operations per second),Disk 2 write ops (operations per second)
VM001.corp.contoso.com,,4,4096,Microsoft Windows Server 2016 (64-bit),,,,,,,,,,,1,,128,200,200,200,299,,,,,
VM002.corp.contoso.com,,4,4096,Microsoft Windows Server 2016 (64-bit),,,,,,,,,,,,,,,,,,,,,,
VM003.corp.contoso.com,,4,4096,Microsoft Windows Server 2016 (64-bit),,,,,,,,,,,,,,,,,,,,,,
VM004.corp.contoso.com,,4,4096,Microsoft Windows Server 2016 (64-bit),,,,,,,,,,,,,,,,,,,,,,
VM005.corp.contoso.com,172.21.12.10;fe80::14ff:fb5b:b729:1ebe,4,4096,Microsoft Windows Server 2016 (64-bit),,,,,,,,,,,,,,,,,,,,,,
VM006.corp.contoso.com,,4,4096,Microsoft Windows Server 2016 (64-bit),,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
VM007.corp.contoso.com,,4,4096,Microsoft Windows Server 2016 (64-bit),,,Virtual,Vmware,50,50,2,50,20,UEFI,1,64,128,200,200,200,299,128,200,200,200,299
VM008.corp.contoso.com,,4,4096,Microsoft Windows Server 2016 (64-bit),,,Virtual,Hyper-V,50,50,2,50,20,UEFI,1,128,128,200,200,200,299,128,200,200,200,299
VM009.corp.contoso.com,,4,4096,Red Hat Enterprise Linux 7.1,7.1,x64,Physical,,50,50,2,50,20,BIOS,1,128,128,200,200,200,299,128,200,200,200,299
VM010.corp.contoso.com,172.21.12.8;fe80::14ff:fb5b:b729:1ebd,4,4096,Oracle Linux 7,7.2,x64,Physical,,50,50,2,50,20,BIOS,1,128,128,200,200,200,299,128,200,200,200,299
